,id,title,grant_code,funder_name,is_user_defined,url,item_id
0,115803,Computer Aided Detection of Diabetic Retinopathy in Veterans with Diabetes,I01CX000119,United States Department of Veterans Affairs,0,https://app.dimensions.ai/details/grant/grant.2401875,8377090
1,12929612,my grant,,,1,,8377090
2,13892152,Internal Lancaster Funding,,,1,,8332638
3,11954045,UKRI Trustworthy Autonomous Systems Hub,EP/V00784X/1,Engineering and Physical Sciences Research Council,0,https://app.dimensions.ai/details/grant/grant.9343379,8332638
4,12198552,UKRI Trustworthy Autonomous Systems Node in Verifiability,EP/V026801/1,Engineering and Physical Sciences Research Council,0,https://app.dimensions.ai/details/grant/grant.9451536,8327074
5,13892146,funding from internal source,,,1,,8327074
6,13200850,UKRI AHRC Impact Acceleration Account,AH/X003574/1,Arts and Humanities Research Council,0,https://app.dimensions.ai/details/grant/grant.12888094,8283932
7,13200850,UKRI AHRC Impact Acceleration Account,AH/X003574/1,Arts and Humanities Research Council,0,https://app.dimensions.ai/details/grant/grant.12888094,8271566
8,13892016,Internal Anton Bruckner,,,1,,8271566
9,10995321,The Role of the Gut Microbiota in Honey Bee Health,2018-67013-27540,National Institute of Food and Agriculture,0,https://app.dimensions.ai/details/grant/grant.8826473,8250356
10,13891968,The Mechanistic Study on N-doped Carbon Nanomaterials as Highly Efficient Cathode for Fuel Cells,,,1,,8250356
11,13200850,UKRI AHRC Impact Acceleration Account,AH/X003574/1,Arts and Humanities Research Council,0,https://app.dimensions.ai/details/grant/grant.12888094,8245261
12,13200850,UKRI AHRC Impact Acceleration Account,AH/X003574/1,Arts and Humanities Research Council,0,https://app.dimensions.ai/details/grant/grant.12888094,8242835
13,12574006,UKRI COVID19 Doctoral Funding Kingston University,NE/W502637/1,Natural Environment Research Council,0,https://app.dimensions.ai/details/grant/grant.9624484,8205535
14,13698837,other funding,,,1,,8205535
15,13556192,UKRI-India Future Networks Initiative,EP/W016699/1,Engineering and Physical Sciences Research Council,0,https://app.dimensions.ai/details/grant/grant.9957789,8205483
16,12594286,UKRI COVID19 Doctoral Funding University of Ulster,NE/W502364/1,Natural Environment Research Council,0,https://app.dimensions.ai/details/grant/grant.9642205,8120018
17,13698376,Test funder,,,1,,8120018
18,4059571,NSFDEB-NERC: Collaborative Research: Informing population models with evolutionary theory to infer species' conservation status,1556779,Directorate for Biological Sciences,0,https://app.dimensions.ai/details/grant/grant.5019172,8112610
19,2904061,Applying NERC-funded biodiversity research to improve corporate biodiversity strategies,NE/N005457/1,Natural Environment Research Council,0,https://app.dimensions.ai/details/grant/grant.4106673,8112570
20,10420050,"NERC-MOST Biodiversity change: integrating taxonomic, phylogenetic and functional diversity",NE/T004487/1,Natural Environment Research Council,0,https://app.dimensions.ai/details/grant/grant.8558405,8109078
21,10420050,"NERC-MOST Biodiversity change: integrating taxonomic, phylogenetic and functional diversity",NE/T004487/1,Natural Environment Research Council,0,https://app.dimensions.ai/details/grant/grant.8558405,8109076
22,13698360,super grant from big funder ££££££££££,,,1,,8109076
23,6496869,"Evaluation of new technologies for urine-based HPV detection - extension of the ""Bill and Melinda Gates Foundation"" research project",16/19527-7,São Paulo Research Foundation,0,https://app.dimensions.ai/details/grant/grant.6659783,7938277
24,10133594,Achieving 1-week Lifetime for 100/1000/10000 Meter Emergency Communications,19K20250,Japan Society for the Promotion of Science,0,https://app.dimensions.ai/details/grant/grant.8423609,7847550
25,12929612,my grant,,,1,,7847550
26,3462293,Article Series in Dagens Næringsliv on Statistical issues related to functioning of financial markets II,199984,The Research Council of Norway,0,https://app.dimensions.ai/details/grant/grant.4660320,7847550
27,1479503,Collaborative Research: Full Field Measurement of Cutting Tool Surface Temperatures,1000764,Directorate for Engineering,0,https://app.dimensions.ai/details/grant/grant.3112241,7658738
28,9356270,KSI: 'Master Plan 100% Climate Protection in the Flensburg Region' 100% cooperation for 100% climate protection,03KP0007,"Federal Ministry for the Environment, Nature Conservation, Nuclear Safety and Consumer Protection",0,https://app.dimensions.ai/details/grant/grant.8011557,7341492
29,12929612,my grant,,,1,,7341492
30,7371091,Monsoon Climate Change and Vegetation Response in Southwest China in Recent 20000 Years,41272188,National Natural Science Foundation of China,0,https://app.dimensions.ai/details/grant/grant.7189265,7191180
31,11757604,NIHR Mental Health MedTech Co-operative (short name: NIHR MindTech MedTech Co-operative),MIC-2016-003,National Institute for Health Research,0,https://app.dimensions.ai/details/grant/grant.9249863,7183896
32,11793264,"DE LOS RIOS ESCALANTE Postgraduate Scholarship, PATRICIO RENE",100071,Agencia Nacional de Investigación y Desarrollo,0,https://app.dimensions.ai/details/grant/grant.9268606,7183894
33,1479445,Collaborative Research: Damage Compliant Inelastic Design Parameters for Performance-Based-Seismic-Design of Slender RC Columns,1000549,Directorate for Engineering,0,https://app.dimensions.ai/details/grant/grant.3112212,7124066
34,1479505,The Mechanistic Study on N-doped Carbon Nanomaterials as Highly Efficient Cathode for Fuel Cells,1000768,Directorate for Engineering,0,https://app.dimensions.ai/details/grant/grant.3112242,7039568
35,6046147,Study on the Development of CVDT-1000(Renamed as VCTP-1000) and its Application to Oceanographic Research.,60840007,Japan Society for the Promotion of Science,0,https://app.dimensions.ai/details/grant/grant.6225171,7039568
36,1479503,Collaborative Research: Full Field Measurement of Cutting Tool Surface Temperatures,1000764,Directorate for Engineering,0,https://app.dimensions.ai/details/grant/grant.3112241,6969378
37,8495751,"The strategic research program Ekoklim at Stockholm University, The Swedish Research Council Formas (projects 2007-1428 and 2015-1065)",,,1,,5738365
38,8487539,The experiments were funded by DTRA grant number “HDTRA-1-09-1-0018” and the INCBN from a NSF Grant “DGE-0549500”,,,1,,5738361
